Countries and territories[a],Cases[b],Deaths[c],Recov.[d],Ref.
United States,676676,34784,56127,[11]
Spain,188068,19478,72963,[14]
Italy,168941,22170,40164,[17]
Germany,138369,4105,66500,[18][19]
France,108847,17920,32812,[21][22]
United Kingdom,108692,14576,–,[24][25]
China,82367,3342,77944,[26]
Iran,77995,4869,52229,[32]
Turkey,74193,1643,7089,[33]
Belgium,36138,5163,7961,[35]
Russia,32008,273,2590,[36]
Brazil,30891,1952,14026,[37][38]
Canada,30106,1195,9729,[39]
Netherlands,30449,3459,–,[41]
Switzerland,26770,1315,15900,[44]
Portugal,18841,629,493,[45]
Austria,14553,431,9704,[46][47]
India,13835,452,1767,[48]
Israel,12855,148,2967,[49]
Ireland,13271,486,–,[50]
Sweden,13216,1400,–,[51]
Peru,12491,274,6120,[52][53]
South Korea,10635,230,7829,[54]
Japan,9167,148,1012,[57]
Chile,8807,105,3299,[63]
Ecuador,8225,403,838,[64]
Poland,8214,318,866,[37][65]
Romania,8067,400,1508,[66]
Saudi Arabia,7142,87,1049,[67]
Denmark,7073,321,3023,[70]
Pakistan,7025,135,1765,[71]
Norway,6905,157,–,[72]
Australia,6522,65,3747,[75]
Czech Republic,6437,170,979,[76]
Mexico,6297,486,2125,[77][78]
Indonesia,5923,520,607,[79]
Philippines,5878,387,487,[80]
United Arab Emirates,5825,35,1095,[81]
Serbia,5318,103,443,[82]
Malaysia,5251,86,2967,[83][84]
Singapore,5050,10,683,[85][86]
Belarus,4779,42,342,[87]
Qatar,4663,7,464,[88]
Ukraine,4662,125,246,[89]
Panama,4016,109,98,[90]
Dominican Republic,3755,196,215,[91][92]
Luxembourg,3444,68,552,[93]
Finland,3369,72,–,[97][98]
Colombia,3233,144,550,[99]
Thailand,2700,47,1689,[100][101]
Egypt,2673,196,596,[102]
Argentina,2658,122,630,[104]
South Africa,2605,48,903,[105]
Morocco,2283,130,249,[107]
Algeria,2268,348,783,[108]
Greece,2207,108,269,[109][110]
Moldova,2154,53,235,[111]
Croatia,1814,36,600,[112]
Hungary,1763,156,207,[113]
Iceland,1739,8,1144,[114]
Bahrain,1700,7,703,[115]
Bangladesh,1838,75,58,[116][117]
Kuwait,1524,3,225,[118][119]
Kazakhstan,1480,17,306,[120]
Estonia,1459,38,145,[121]
Iraq,1434,80,856,[122]
Uzbekistan,1380,4,129,[123]
Azerbaijan,1283,15,460,[124]
Slovenia,1269,61,174,[125]
Armenia,1201,19,402,[126]
Bosnia & Herzegovina,1199,46,320,[127][128]
Lithuania,1149,32,210,[129]
North Macedonia,1117,49,139,[130][131]
New Zealand,1086,11,816,[132]
Oman,1069,5,176,[133]
Puerto Rico,1043,56,–,[134]
Hong Kong,1022,4,533,[135]
Cameroon,996,21,168,[136]
Slovakia,977,8,151,[137]
Afghanistan,906,30,99,[138]
Cuba,862,27,171,[139]
Bulgaria,825,40,141,[140]
Tunisia,822,37,43,[141]
Cyprus,725,12,77,[142]
Ivory Coast,688,6,193,[143][144]
Andorra,682,33,177,[145]
Latvia,682,5,88,[37][146]
Lebanon,663,21,86,[147]
Costa Rica,642,4,67,[148]
Ghana,641,8,83,[149]
Niger,609,15,105,[150]
Djibouti,591,2,73,[151]
Burkina Faso,546,32,257,[152]
Albania,539,26,277,[153]
Uruguay,502,9,286,[154]
Kyrgyzstan,489,5,114,[155]
Bolivia,465,31,26,[156]
Kosovo,449,11,79,[157]
Nigeria,442,13,152,[158]
Guinea,438,1,49,[159]
Honduras,442,41,10,[160]
San Marino,426,38,55,[161]
Malta,412,3,82,[162][163]
Jordan,402,7,259,[164]
Taiwan,395,6,166,[165][166]
Réunion,394,0,237,[167]
Georgia,370,3,79,[168]
Senegal,342,2,198,[169][170]
Mauritius,324,9,65,[171]
Montenegro,303,4,55,[172]
Palestine,295,2,61,[173]
Isle of Man,289,4,168,[174]
DR Congo,287,23,25,[175]
Vietnam,268,0,198,[176]
Kenya,246,11,53,[177]
Mayotte,245,4,117,[178]
Sri Lanka,238,7,65,[179]
Guernsey,236,9,82,[180]
